data,produto,preco,desconto,loja,endereco,cidade,uf,regiao,lat,long
2025-07-03,Salmão Inteiro Congelado Aprox. 2 kg,144.18,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Salmão Inteiro Fresco Aprox. 4Kg,359.96,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida para Gato Purina Friskies Salmão com Molho Sachê 85g,4.29,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Azeitona Verde Recheada Especial com Salmão Vale Fértil 130g,19.98,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida para Gatos Adultos Sabor Salmão e Molho Veg Balance,3.19,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida para Gatos Filhotes Sabor Salmão e Molho Veg Balance,3.19,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida Sheba Sachê Cortes Selecionados Sabor Salmão ao Molho para Gatos Adultos 85 g,3.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida para Gatos Adulto Fancy Feast Petit Filet Atum e Salmão Sachê 85g,5.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida para Gatos Castrados Sabor Salmão e Molho Veg Balance,3.19,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Ração Úmida Whiskas Sachê Salmão ao Molho para Gatos Adultos 85 g,3.4,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Salmão em Pedaços Carrefour Classic 500g,75.98,-16.0,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Filé de Salmão Carrefour Classic 500g,89.99,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Salmão Em Medalhão Frescatto 500g com 6 Unidade,144.9,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Filé de Salmão em Pedaços Komdelli Congelado 125 g,28.49,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,,245.69,,Hiper Maceió Jatiúca,"Hiper Maceió Jatiúca
Avenida Comendador Gustavo Paiva
Mangabeiras, Maceió - AL",Maceió/AL,AL,Nordeste,"-9,64959","-35,71739"
2025-07-03,Salmão Inteiro Congelado Aprox. 2 kg,139.97,,Hiper Manaus Manpar,"Hiper Manaus Manpar
Avenida Djalma Batista
Flores, Manaus - AM",Manaus/AM,AM,Norte,"-3,0761","-60,02313"
