estado,cidade/UF,loja,lat,long
,,Hipermercado OsascoVila Yara,-23.53675,-46.76887
,Piracicaba/SP,Hipermercado PiracicabaTerras de Piracicaba,-22.66823,-47.66848
,Praia Grande/SP,Carrefour Bairro Central Praia GrandeVila Guilhermina,-24.01306,-46.41808
,Presidente Prudente/SP,Hipermercado Presidente PrudenteJd Das Rosas,-22.10957,-51.40939
,Ribeirão Preto/SP,Carrefour Bairro Ribeirão PretoCentro,-21.18241,-47.81018
,,Hipermercado Ribeirão Preto NorteIpiranga,-21.16069,-47.81497
,,Hipermercado Ribeirão PretoJd California,-21.20951,-47.81675
,Salto/SP,Carrefour Bairro SaltoVila Nova,-23.20035,-47.2893
,Santana de Parnaíba/SP,Carrefour Bairro AlphavilleAlphaville,-23.46916,-46.87131
,Santo André/SP,Hipermercado Santo André OratórioJardim do Carmo,-23.64591,-46.5267
,,Hipermercado Santo André ShoppingParaiso,-23.66611,-46.53391
,,Hipermercado Santo AndréHumaita,-23.65878,-46.50996
,Santos/SP,Hipermercado Santos PraiamarAparecida,-23.97825,-46.30831
,,Hipermercado SantosBoqueirao,-23.96835,-46.32446
,São Bernardo do Campo/SP,Carrefour Bairro São BernardoCentro,-23.71193,-46.54239
,,Hipermercado DemarchiDemarchi,-23.72486,-46.55198
,,Hipermercado São Bernado do CampoCentro,-23.7261,-46.55198
,,Hipermercado São Bernardo PaulicéiaTaboao,-23.65545,-46.59521
,São Caetano do Sul/SP,Hipermercado São Caetano do SulFundação,-23.6087,-46.56537
,São Carlos/SP,Carrefour Bairro São Carlos - Sta FelíciaSanta Felicia,-21.99732,-47.91609
,São Jose Rio Preto/SP,Hipermercado Rio Preto ShoppingJd Fernandes,-20.83233,-49.39859
,,Hipermercado São José Rio PretoCristo Rei,-20.832,-49.35565
,São José dos Campos/SP,Hipermercado São José Dos CamposSerimbura,-23.22279,-45.90544
,São Paulo/SP,Carrefour Bairro MorumbiJardim Londrina,-23.61172,-46.74075
,,Hipermercado Analia FrancoVila Regente Feijó,-23.56034,-46.56021
,,Hipermercado AricanduvaJardim Aricanduva,-23.55948,-46.51634
,,Hipermercado ButantãButantã,-23.56627,-46.69598
,,Hipermercado Cambuci LionCambuci,-23.56334,-46.6139
,,Hipermercado Casa VerdeCasa Verde,-23.51323,-46.6549
,,Hipermercado Center NorteVl Guilherme,-23.51383,-46.6199
,,Hipermercado Giovani GronchiVila Andrade,-23.64206,-46.73486
,,Hipermercado ImigrantesBosque da Saúde,-23.61791,-46.62598
,,Hipermercado InterlagosCampo Grande,-23.67753,-46.67525
,,Hipermercado LimãoLimao,-23.51228,-46.67499
,,Hipermercado PamplonaJd Pauilsta,-23.5701,-46.66136
,,Hipermercado PinheirosVila Gomes,-23.62417,-46.71079
,,Hipermercado TietêVila Guilherme,-23.52158,-46.59901
