produto,preco,loja,cidade_estado,data
Kani Congelado Frescatto 200g,"R$ 12,99",Carrefour Novo Hamburgo,"Centro, Novo Hamburgo - RS",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,15",BIG Pelotas,"Areal, Pelotas - RS",2025-04-18
Kani Congelado Frescatto 200g,"R$ 9,89",BIG Pelotas,"Areal, Pelotas - RS",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,15",Hipermercado Partenon,"Partenon, Porto Alegre - RS",2025-04-18
Kani Congelado Frescatto 200g,"R$ 9,29",Hipermercado Partenon,"Partenon, Porto Alegre - RS",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,99",Hipermercado Santa Maria,"Centro, Santa Maria - RS",2025-04-18
Kani Congelado Frescatto 200g,"R$ 9,89",Hipermercado Santa Maria,"Centro, Santa Maria - RS",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 13,69",BIG Viamão,"Cecília, Viamão - RS",2025-04-18
Kani Congelado Frescatto 200g,"R$ 12,99",BIG Viamão,"Cecília, Viamão - RS",2025-04-18
Kani Congelado Frescatto 200g,"R$ 13,99",Hiper Balneário Camboriu,"Centro, Balneário Camboriú - SC",2025-04-18
Kani Congelado Frescatto 200g,"R$ 13,99",Hiper Florianópolis Shopping,"Santa Monica, Florianópolis - SC",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Tamboré,"Centro Empresarial Tamboré, Barueri - SP",2025-04-18
Kani Congelado Damm 250g,"R$ 22,69",Hipermercado Tamboré,"Centro Empresarial Tamboré, Barueri - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Caçapava,"Centro, Caçapava - SP",2025-04-18
Hossomaki Philadelphia Kani Kama 160 g,"R$ 22,59",Carrefour Bairro Caçapava,"Centro, Caçapava - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,19",Hipermercado Campinas Valinhos,"Jardim Von Zuben, Campinas - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado Guarujá,"Jd Belmar, Guarujá - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 9,89",Hipermercado Guarulhos,"Vila Rio de Janeiro, Guarulhos - SP",2025-04-18
Kani Congelado Damm 250g,"R$ 10,79",Hipermercado Guarulhos,"Vila Rio de Janeiro, Guarulhos - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 10,49",Carrefour Bairro Indaiatuba,"Cidade Nova, Indaiatuba - SP",2025-04-18
Kani Congelado Frescatto 200g,"R$ 9,98",Carrefour Bairro Indaiatuba,"Cidade Nova, Indaiatuba - SP",2025-04-18
Kani Congelado Costa Sul 200g,"R$ 14,79",Carrefour Bairro Itu,"Liberdade, Itu - SP",2025-04-18
